Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,4380.000000,4380.000000,4380.000000,4380.000000,4060.429932,0
2018-01-02,4380.000000,4505.000000,4365.000000,4380.000000,4060.429932,82303500
2018-01-03,4385.000000,4390.000000,4265.000000,4380.000000,4060.429932,68214000
2018-01-04,4380.000000,4445.000000,4380.000000,4445.000000,4120.687012,76567000
2018-01-05,4460.000000,4480.000000,4435.000000,4450.000000,4125.323242,65268000
2018-01-08,4450.000000,4515.000000,4445.000000,4470.000000,4143.863281,57928000
2018-01-09,4500.000000,4510.000000,4490.000000,4505.000000,4176.310059,61213000
2018-01-10,4505.000000,4545.000000,4465.000000,4490.000000,4162.403809,47292000
2018-01-11,4490.000000,4540.000000,4460.000000,4540.000000,4208.755859,57569000
2018-01-12,4540.000000,4545.000000,4465.000000,4485.000000,4157.768555,66590500
2018-01-15,4490.000000,4500.000000,4460.000000,4495.000000,4167.039063,41875000
2018-01-16,4490.000000,4535.000000,4490.000000,4520.000000,4190.214844,50055000
2018-01-17,4540.000000,4540.000000,4430.000000,4430.000000,4106.781250,183003000
2018-01-18,4450.000000,4520.000000,4450.000000,4515.000000,4185.579590,84980500
2018-01-19,4525.000000,4530.000000,4480.000000,4490.000000,4162.403809,50450500
2018-01-22,4510.000000,4515.000000,4485.000000,4495.000000,4167.039063,81367500
2018-01-23,4530.000000,4540.000000,4505.000000,4530.000000,4199.485840,68752000
2018-01-24,4525.000000,4525.000000,4500.000000,4515.000000,4185.579590,94254500
2018-01-25,4510.000000,4530.000000,4490.000000,4515.000000,4185.579590,53653500
2018-01-26,4525.000000,4570.000000,4505.000000,4540.000000,4208.755859,58121000
2018-01-29,4560.000000,4565.000000,4510.000000,4560.000000,4227.296875,114814500
2018-01-30,4540.000000,4690.000000,4530.000000,4560.000000,4227.296875,114055000
2018-01-31,4560.000000,4580.000000,4540.000000,4545.000000,4213.391113,106803000
2018-02-01,4570.000000,4685.000000,4570.000000,4675.000000,4333.906738,138208000
2018-02-02,4725.000000,4940.000000,4720.000000,4795.000000,4445.149902,98474000
2018-02-05,4750.000000,4805.000000,4700.000000,4760.000000,4412.704590,49501500
2018-02-06,4690.000000,4735.000000,4660.000000,4705.000000,4361.717285,117589500
2018-02-07,4730.000000,4795.000000,4695.000000,4700.000000,4357.082031,121947000
2018-02-08,4710.000000,4760.000000,4700.000000,4740.000000,4394.164063,68461000
2018-02-09,4680.000000,4745.000000,4670.000000,4715.000000,4370.987305,71076500
2018-02-12,4760.000000,4760.000000,4700.000000,4700.000000,4357.082031,38409500
2018-02-13,4760.000000,4785.000000,4750.000000,4760.000000,4412.704590,59406000
2018-02-14,4745.000000,4775.000000,4710.000000,4740.000000,4394.164063,75553000
2018-02-15,4780.000000,4785.000000,4690.000000,4690.000000,4347.811523,52958500
2018-02-16,4690.000000,4690.000000,4690.000000,4690.000000,4347.811523,0
2018-02-19,4735.000000,4850.000000,4730.000000,4850.000000,4496.138184,50185500
2018-02-20,4820.000000,4840.000000,4775.000000,4805.000000,4454.421387,34830000
2018-02-21,4790.000000,4835.000000,4745.000000,4805.000000,4454.421387,62499000
2018-02-22,4820.000000,4835.000000,4750.000000,4780.000000,4431.245117,47217000
2018-02-23,4805.000000,4895.000000,4790.000000,4850.000000,4496.138184,82233000
2018-02-26,4830.000000,4845.000000,4700.000000,4705.000000,4361.717285,85227500
2018-02-27,4745.000000,4755.000000,4660.000000,4710.000000,4366.352539,87429500
2018-02-28,4680.000000,4690.000000,4615.000000,4635.000000,4296.824707,132869000
2018-03-01,4620.000000,4645.000000,4620.000000,4635.000000,4296.824707,125474500
2018-03-02,4615.000000,4625.000000,4550.000000,4575.000000,4241.202148,151511000
2018-03-05,4630.000000,4660.000000,4575.000000,4575.000000,4241.202148,87744000
2018-03-06,4635.000000,4640.000000,4545.000000,4555.000000,4222.661133,75907000
2018-03-07,4620.000000,4630.000000,4505.000000,4520.000000,4190.214844,106152000
2018-03-08,4600.000000,4680.000000,4550.000000,4660.000000,4320.000977,102994500
2018-03-09,4660.000000,4660.000000,4595.000000,4660.000000,4320.000977,66797000
2018-03-12,4680.000000,4730.000000,4670.000000,4725.000000,4380.258301,111180500
2018-03-13,4720.000000,4740.000000,4655.000000,4690.000000,4347.811523,80643000
2018-03-14,4695.000000,4720.000000,4645.000000,4680.000000,4338.541504,54505500
2018-03-15,4680.000000,4685.000000,4650.000000,4675.000000,4333.906738,60774500
2018-03-16,4730.000000,4735.000000,4600.000000,4670.000000,4329.270996,193122000
2018-03-19,4660.000000,4675.000000,4640.000000,4670.000000,4329.270996,74200000
2018-03-20,4655.000000,4660.000000,4600.000000,4655.000000,4315.365723,89683500
2018-03-21,4670.000000,4705.000000,4655.000000,4675.000000,4333.906738,67617500
2018-03-22,4695.000000,4700.000000,4670.000000,4690.000000,4347.811523,60791500
2018-03-23,4600.000000,4760.000000,4600.000000,4760.000000,4412.704590,62978000
2018-03-26,4680.000000,4690.000000,4640.000000,4655.000000,4315.365723,100407000
2018-03-27,4730.000000,4755.000000,4685.000000,4690.000000,4347.811523,66088000
2018-03-28,4690.000000,4690.000000,4630.000000,4665.000000,4324.636230,36212500
2018-03-29,4630.000000,4665.000000,4565.000000,4660.000000,4320.000977,77650500
2018-03-30,4660.000000,4660.000000,4660.000000,4660.000000,4320.000977,0
2018-04-02,4690.000000,4695.000000,4620.000000,4680.000000,4338.541504,37162500
2018-04-03,4675.000000,4700.000000,4665.000000,4680.000000,4338.541504,56261000
2018-04-04,4700.000000,4700.000000,4605.000000,4660.000000,4320.000977,49877000
2018-04-05,4700.000000,4700.000000,4610.000000,4610.000000,4273.648438,22521500
2018-04-06,4625.000000,4625.000000,4520.000000,4545.000000,4213.391113,47941500
2018-04-09,4570.000000,4580.000000,4515.000000,4555.000000,4222.661133,51013000
2018-04-10,4575.000000,4690.000000,4560.000000,4660.000000,4320.000977,79533500
2018-04-11,4700.000000,4730.000000,4660.000000,4665.000000,4324.636230,41891500
